fl,fw,gt,inl,inw,k,k_mul,pl,pt,pw,sl,st,sw,x,freq,s11,gain,bandwidth
7.5,3.5,0.4,7.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,3.5,3.3634,-15.57056450687,2.658203751200566,0.18545966095168964
8.0,3.5,0.4,7.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,3.5,3.5398,-22.35795735977,4.047312520474252,0.2298745969771261
8.5,3.5,0.4,7.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,3.5,3.7211,-37.020459765932,4.51979263244319,0.261951517039972
9.0,3.5,0.4,7.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,3.5,3.8975,-20.999446773556,5.282055333896602,0.26420518040108076
9.5,3.5,0.4,7.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,3.5,4.1278,-15.150488140554,5.675587558086149,0.23150884838146002
10.0,3.5,0.4,7.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,3.5,4.3287,-10.766895042447,5.11999102337888,0.10952794269300359
10.5,3.5,0.4,7.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,3.5,4.5443,-6.9198111493968,5.3299567559010095
11.0,3.5,0.4,7.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,3.5,4.7452,-4.1032613450178,2.6177702892110934
7.5,3.5,0.4,7.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,3.0,3.4026,-16.027027517134,2.950781290788119,0.18900774127214248
8.0,3.5,0.4,7.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,3.0,3.5447,-21.843363772822,4.02352256502713,0.2277045658799013
8.5,3.5,0.4,7.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,3.0,3.7064,-44.265029443863,4.403574397426052,0.25488771834433877
9.0,3.5,0.4,7.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,3.0,3.9122,-21.452454136327,5.3613285231467795,0.261636108247981
9.5,3.5,0.4,7.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,3.0,4.1082,-15.104426985915,5.668429206866045,0.23122671258625616
10.0,3.5,0.4,7.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,3.0,4.3336,-10.814214772682,5.050715314959968,0.11142141962880459
10.5,3.5,0.4,7.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,3.0,4.4855,-7.3432233425933,5.269543092261646
11.0,3.5,0.4,7.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,3.0,4.7403,-4.0628069552689,2.519017816117467
7.5,3.5,0.4,7.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,2.5,3.4075,-16.052968423983,2.9820062424022513,0.18935088298932667
8.0,3.5,0.4,7.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,2.5,3.5594,-22.019112027237,4.0906527000057125,0.22778462718926695
8.5,3.5,0.4,7.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,2.5,3.726,-41.664891757524,4.4889940462962405,0.26102432169996925
9.0,3.5,0.4,7.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,2.5,3.922,-22.011598704069,5.441748330405343,0.26243371110035385
9.5,3.5,0.4,7.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,2.5,4.118,-15.453264144606,5.578271105018356,0.23261667820511622
10.0,3.5,0.4,7.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,2.5,4.3287,-10.993762393268,5.03209986437605,0.12119329685859004
10.5,3.5,0.4,7.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,2.5,4.4904,-7.2703195343995,5.281251432940913
11.0,3.5,0.4,7.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,2.5,4.7648,-4.0310884987348,2.1495630851749707
7.5,3.5,0.4,7.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,2.0,3.3732,-14.922969479074,2.650718801261905,0.17898669175240522
8.0,3.5,0.4,7.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,2.0,3.5496,-21.432568150322,3.9784739004584,0.22469821122097144
8.5,3.5,0.4,7.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,2.0,3.7162,-45.271822113349,4.352663689471127,0.2616330355401062
9.0,3.5,0.4,7.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,2.0,3.9171,-21.833310961163,5.35432079213363,0.2607408231657309
9.5,3.5,0.4,7.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,2.0,4.118,-15.650615747602,5.619608017014736,0.23430516736989215
10.0,3.5,0.4,7.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,2.0,4.3434,-10.948797195822,5.1333032032239485,0.11863463488719805
10.5,3.5,0.4,7.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,2.0,4.4806,-7.2843089056599,5.179281910877904
11.0,3.5,0.4,7.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,2.0,4.7403,-4.1525339857715,2.395558616608472
7.5,3.5,0.4,7.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,1.5,3.4173,-16.062375205564,3.007979245500853,0.18922312725035084
8.0,3.5,0.4,7.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,1.5,3.5692,-21.873145185641,4.03709873697188,0.22602128194015192
8.5,3.5,0.4,7.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,1.5,3.7309,-42.453676735163,4.468074270039978,0.26014985960243475
9.0,3.5,0.4,7.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,1.5,3.9269,-22.307211153665,5.398822680879947,0.2615613781284818
9.5,3.5,0.4,7.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,1.5,4.1229,-15.649862876683,5.571827265622264,0.23355386588613936
10.0,3.5,0.4,7.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,1.5,4.3434,-10.973738618968,5.147285356917502,0.11967939634170399
10.5,3.5,0.4,7.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,1.5,4.5443,-7.0541796732355,5.28603788265393
11.0,3.5,0.4,7.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,1.5,4.7305,-4.1712288945213,2.443511639875843
7.5,3.5,0.4,7.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,1.0,3.4124,-15.957574641328,2.950819720836864,0.18814896630185807
8.0,3.5,0.4,7.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,1.0,3.5594,-21.495804744852,4.024476982674834,0.22663003258580217
8.5,3.5,0.4,7.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,1.0,3.726,-50.375504028801,4.440808333057761,0.25949508199476723
9.0,3.5,0.4,7.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,1.0,3.9269,-22.074287458497,5.4117674200527315,0.2599634864434148
9.5,3.5,0.4,7.0,0.35,4.5,0.5,16.0,0.4,23.7,35.0,3.0,55.0,1.0,4.1033,-15.707368716959,5.6021202802787515,0.23338779117935582
10.0,3.5,0.4,7.0,0.35,4.5,0.5,15.0,0.4,23.7,35.0,3.0,55.0,1.0,4.3434,-10.974980282525,5.113954425923086,0.11929638659961395
10.5,3.5,0.4,7.0,0.35,4.5,0.5,14.0,0.4,23.7,35.0,3.0,55.0,1.0,4.5443,-7.0850686292779,5.218753643636472
11.0,3.5,0.4,7.0,0.35,4.5,0.5,13.0,0.4,23.7,35.0,3.0,55.0,1.0,4.7599,-4.0253665309678,2.062628258591711
7.5,3.5,0.4,6.0,0.35,4.5,0.5,20.0,0.4,23.7,35.0,3.0,55.0,3.5,3.3732,-12.626791603899,2.9171225942314694,0.15612505181556147
8.0,3.5,0.4,6.0,0.35,4.5,0.5,19.0,0.4,23.7,35.0,3.0,55.0,3.5,3.5153,-15.615220502826,3.938763168605795,0.21108509567792932
8.5,3.5,0.4,6.0,0.35,4.5,0.5,18.0,0.4,23.7,35.0,3.0,55.0,3.5,3.726,-21.927347984783,4.739977859682261,0.26949596949242505
9.0,3.5,0.4,6.0,0.35,4.5,0.5,17.0,0.4,23.7,35.0,3.0,55.0,3.5,3.9122,-31.220383683251,5.621863119458139,0.293600686338535
